,orispl_unit,orispl,fuel,fuel_price1,fuel_price2,fuel_price3,fuel_price4,fuel_price5,fuel_price6,fuel_price7,fuel_price8,fuel_price9,fuel_price10,fuel_price11,fuel_price12,fuel_price13,fuel_price14,fuel_price15,fuel_price16,fuel_price17,fuel_price18,fuel_price19,fuel_price20,fuel_price21,fuel_price22,fuel_price23,fuel_price24,fuel_price25,fuel_price26,fuel_price27,fuel_price28,fuel_price29,fuel_price30,fuel_price31,fuel_price32,fuel_price33,fuel_price34,fuel_price35,fuel_price36,fuel_price37,fuel_price38,fuel_price39,fuel_price40,fuel_price41,fuel_price42,fuel_price43,fuel_price44,fuel_price45,fuel_price46,fuel_price47,fuel_price48,fuel_price49,fuel_price50,fuel_price51,fuel_price52
0,10030_2,10030,ng,3.0780000000000007,3.0780000000000007,3.0780000000000007,3.0780000000000007,3.0780000000000007,3.0780000000000007,3.0780000000000007,3.0780000000000007,3.0780000000000007,3.0780000000000007,3.0780000000000007,3.0780000000000007,3.0780000000000007,2.5610000000000004,2.5610000000000004,2.5610000000000004,2.5610000000000004,2.184,2.184,2.184,2.184,3.528,3.528,3.528,3.528,3.528,2.978,2.978,2.978,2.978,2.9389999999999996,2.9389999999999996,2.9389999999999996,2.9389999999999996,2.9389999999999996,3.311,3.311,3.311,3.311,3.2170000000000005,3.2170000000000005,3.2170000000000005,3.2170000000000005,3.0780000000000007,3.0780000000000007,3.0780000000000007,3.0780000000000007,3.971,3.971,3.971,3.971,3.971
1,10030_3,10030,ng,3.0780000000000007,3.0780000000000007,3.0780000000000007,3.0780000000000007,3.0780000000000007,3.0780000000000007,3.0780000000000007,3.0780000000000007,3.0780000000000007,3.0780000000000007,3.0780000000000007,3.0780000000000007,3.0780000000000007,2.5610000000000004,2.5610000000000004,2.5610000000000004,2.5610000000000004,2.184,2.184,2.184,2.184,3.528,3.528,3.528,3.528,3.528,2.978,2.978,2.978,2.978,2.9389999999999996,2.9389999999999996,2.9389999999999996,2.9389999999999996,2.9389999999999996,3.311,3.311,3.311,3.311,3.2170000000000005,3.2170000000000005,3.2170000000000005,3.2170000000000005,3.0780000000000007,3.0780000000000007,3.0780000000000007,3.0780000000000007,3.971,3.971,3.971,3.971,3.971
2,10099_001001,10099,ng,5.0489999999999995,5.0489999999999995,5.0489999999999995,5.0489999999999995,6.0889999999999995,6.0889999999999995,6.0889999999999995,6.0889999999999995,4.4719999999999995,4.4719999999999995,4.4719999999999995,4.4719999999999995,4.4719999999999995,1.7930000000000004,1.7930000000000004,1.7930000000000004,1.7930000000000004,2.79,2.79,2.79,2.79,2.5830000000000006,2.5830000000000006,2.5830000000000006,2.5830000000000006,2.5830000000000006,2.883,2.883,2.883,2.883,2.6260000000000003,2.6260000000000003,2.6260000000000003,2.6260000000000003,2.6260000000000003,2.366,2.366,2.366,2.366,8.464,8.464,8.464,8.464,4.007,4.007,4.007,4.007,4.933,4.933,4.933,4.933,4.933
3,10308_1001,10308,ng,3.543,3.543,3.543,3.543,2.8339999999999996,2.8339999999999996,2.8339999999999996,2.8339999999999996,1.8890000000000002,1.8890000000000002,1.8890000000000002,1.8890000000000002,1.8890000000000002,3.927,3.927,3.927,3.927,2.125,2.125,2.125,2.125,2.573,2.573,2.573,2.573,2.573,2.8960000000000004,2.8960000000000004,2.8960000000000004,2.8960000000000004,2.767,2.767,2.767,2.767,2.767,3.395,3.395,3.395,3.395,4.441,4.441,4.441,4.441,5.992999999999999,5.992999999999999,5.992999999999999,5.992999999999999,4.119,4.119,4.119,4.119,4.119
4,10308_1002,10308,ng,3.543,3.543,3.543,3.543,2.8339999999999996,2.8339999999999996,2.8339999999999996,2.8339999999999996,1.8890000000000002,1.8890000000000002,1.8890000000000002,1.8890000000000002,1.8890000000000002,3.927,3.927,3.927,3.927,2.125,2.125,2.125,2.125,2.573,2.573,2.573,2.573,2.573,2.8960000000000004,2.8960000000000004,2.8960000000000004,2.8960000000000004,2.767,2.767,2.767,2.767,2.767,3.395,3.395,3.395,3.395,4.441,4.441,4.441,4.441,5.992999999999999,5.992999999999999,5.992999999999999,5.992999999999999,4.119,4.119,4.119,4.119,4.119
5,10343_SG-101,10343,wc,1.6576720966970164,1.6185694810188658,1.5379015194428052,1.5447874736283111,1.6098033825763978,1.7749436295538745,1.7749436295538745,1.7566604475220604,1.7566604475220604,1.6576720966970164,1.6576720966970164,1.6472328804985341,1.6472328804985341,1.6472328804985341,1.6472328804985341,1.6462313644901554,1.6462313644901554,1.6462313644901554,1.6462313644901554,1.6185694810188658,1.6185694810188658,1.6185694810188658,1.5755977119034288,1.5755977119034288,1.5755977119034288,1.5755977119034288,1.5379015194428052,1.5379015194428052,1.5379015194428052,1.5379015194428052,1.553426495425228,1.553426495425228,1.553426495425228,1.553426495425228,1.5447874736283111,1.5447874736283111,1.5447874736283111,1.5447874736283111,1.5447874736283111,1.508107659721315,1.508107659721315,1.508107659721315,1.5117309090984226,1.6098033825763978,1.6098033825763978,1.6098033825763978,1.6098033825763978,1.6098033825763978,1.6098033825763978,1.6098033825763978,1.7749436295538745,1.7749436295538745
6,1040_1,1040,bit,2.895740137221269,2.895740137221269,2.895740137221269,2.895740137221269,2.8454704251386325,2.8454704251386325,2.8454704251386325,2.8454704251386325,2.8577330442861566,2.8577330442861566,2.8577330442861566,2.8577330442861566,2.8577330442861566,2.8169013840830455,2.8169013840830455,2.8169013840830455,2.8169013840830455,2.843698955707598,2.843698955707598,2.843698955707598,2.843698955707598,2.8046001799640075,2.8046001799640075,2.8046001799640075,2.8046001799640075,2.8046001799640075,2.8376417910447764,2.8376417910447764,2.8376417910447764,2.8376417910447764,2.8624464858559344,2.8624464858559344,2.8624464858559344,2.8624464858559344,2.8624464858559344,2.8693563813585135,2.8693563813585135,2.8693563813585135,2.8693563813585135,2.9457299524564178,2.9457299524564178,2.9457299524564178,2.9457299524564178,2.835082817085099,2.835082817085099,2.835082817085099,2.835082817085099,2.816517948717949,2.816517948717949,2.816517948717949,2.816517948717949,2.816517948717949
7,1040_2,1040,bit,2.895740137221269,2.895740137221269,2.895740137221269,2.895740137221269,2.8454704251386325,2.8454704251386325,2.8454704251386325,2.8454704251386325,2.8577330442861566,2.8577330442861566,2.8577330442861566,2.8577330442861566,2.8577330442861566,2.8169013840830455,2.8169013840830455,2.8169013840830455,2.8169013840830455,2.843698955707598,2.843698955707598,2.843698955707598,2.843698955707598,2.8046001799640075,2.8046001799640075,2.8046001799640075,2.8046001799640075,2.8046001799640075,2.8376417910447764,2.8376417910447764,2.8376417910447764,2.8376417910447764,2.8624464858559344,2.8624464858559344,2.8624464858559344,2.8624464858559344,2.8624464858559344,2.8693563813585135,2.8693563813585135,2.8693563813585135,2.8693563813585135,2.9457299524564178,2.9457299524564178,2.9457299524564178,2.9457299524564178,2.835082817085099,2.835082817085099,2.835082817085099,2.835082817085099,2.816517948717949,2.816517948717949,2.816517948717949,2.816517948717949,2.816517948717949
8,10603_031,10603,wc,1.6576720966970164,1.6185694810188658,1.5379015194428052,1.5447874736283111,1.6098033825763978,1.7749436295538745,1.7749436295538745,1.7566604475220604,1.7566604475220604,1.6576720966970164,1.6576720966970164,1.6472328804985341,1.6472328804985341,1.6472328804985341,1.6472328804985341,1.6462313644901554,1.6462313644901554,1.6462313644901554,1.6462313644901554,1.6185694810188658,1.6185694810188658,1.6185694810188658,1.5755977119034288,1.5755977119034288,1.5755977119034288,1.5755977119034288,1.5379015194428052,1.5379015194428052,1.5379015194428052,1.5379015194428052,1.553426495425228,1.553426495425228,1.553426495425228,1.553426495425228,1.5447874736283111,1.5447874736283111,1.5447874736283111,1.5447874736283111,1.5447874736283111,1.508107659721315,1.508107659721315,1.508107659721315,1.5117309090984226,1.6098033825763978,1.6098033825763978,1.6098033825763978,1.6098033825763978,1.6098033825763978,1.6098033825763978,1.6098033825763978,1.7749436295538745,1.7749436295538745
9,10633_1,10633,ng,3.543,3.543,3.543,3.543,2.8339999999999996,2.8339999999999996,2.8339999999999996,2.8339999999999996,1.8890000000000002,1.8890000000000002,1.8890000000000002,1.8890000000000002,1.8890000000000002,3.927,3.927,3.927,3.927,2.125,2.125,2.125,2.125,2.573,2.573,2.573,2.573,2.573,2.8960000000000004,2.8960000000000004,2.8960000000000004,2.8960000000000004,2.767,2.767,2.767,2.767,2.767,3.395,3.395,3.395,3.395,4.441,4.441,4.441,4.441,5.992999999999999,5.992999999999999,5.992999999999999,5.992999999999999,4.119,4.119,4.119,4.119,4.119
10,10633_2,10633,ng,3.543,3.543,3.543,3.543,2.8339999999999996,2.8339999999999996,2.8339999999999996,2.8339999999999996,1.8890000000000002,1.8890000000000002,1.8890000000000002,1.8890000000000002,1.8890000000000002,3.927,3.927,3.927,3.927,2.125,2.125,2.125,2.125,2.573,2.573,2.573,2.573,2.573,2.8960000000000004,2.8960000000000004,2.8960000000000004,2.8960000000000004,2.767,2.767,2.767,2.767,2.767,3.395,3.395,3.395,3.395,4.441,4.441,4.441,4.441,5.992999999999999,5.992999999999999,5.992999999999999,5.992999999999999,4.119,4.119,4.119,4.119,4.119
11,10633_3,10633,ng,3.543,3.543,3.543,3.543,2.8339999999999996,2.8339999999999996,2.8339999999999996,2.8339999999999996,1.8890000000000002,1.8890000000000002,1.8890000000000002,1.8890000000000002,1.8890000000000002,3.927,3.927,3.927,3.927,2.125,2.125,2.125,2.125,2.573,2.573,2.573,2.573,2.573,2.8960000000000004,2.8960000000000004,2.8960000000000004,2.8960000000000004,2.767,2.767,2.767,2.767,2.767,3.395,3.395,3.395,3.395,4.441,4.441,4.441,4.441,5.992999999999999,5.992999999999999,5.992999999999999,5.992999999999999,4.119,4.119,4.119,4.119,4.119
12,10678_001,10678,bit,2.1353505370322665,2.1353505370322665,2.1353505370322665,2.1353505370322665,2.07966375262985,2.07966375262985,2.07966375262985,2.07966375262985,2.101067526039982,2.101067526039982,2.101067526039982,2.101067526039982,2.101067526039982,2.1740278631628818,2.1740278631628818,2.1740278631628818,2.1740278631628818,2.244263044567128,2.244263044567128,2.244263044567128,2.244263044567128,2.1510797558731944,2.1510797558731944,2.1510797558731944,2.1510797558731944,2.1510797558731944,2.17648196520287,2.17648196520287,2.17648196520287,2.17648196520287,2.1546444571188017,2.1546444571188017,2.1546444571188017,2.1546444571188017,2.1546444571188017,2.108936510185378,2.108936510185378,2.108936510185378,2.108936510185378,2.177031265684144,2.177031265684144,2.177031265684144,2.177031265684144,2.077791591108477,2.077791591108477,2.077791591108477,2.077791591108477,2.103240328542397,2.103240328542397,2.103240328542397,2.103240328542397,2.103240328542397
13,10751_002001,10751,ng,3.543,3.543,3.543,3.543,2.8339999999999996,2.8339999999999996,2.8339999999999996,2.8339999999999996,1.8890000000000002,1.8890000000000002,1.8890000000000002,1.8890000000000002,1.8890000000000002,3.927,3.927,3.927,3.927,2.125,2.125,2.125,2.125,2.573,2.573,2.573,2.573,2.573,2.8960000000000004,2.8960000000000004,2.8960000000000004,2.8960000000000004,2.767,2.767,2.767,2.767,2.767,3.395,3.395,3.395,3.395,4.441,4.441,4.441,4.441,5.992999999999999,5.992999999999999,5.992999999999999,5.992999999999999,4.119,4.119,4.119,4.119,4.119
14,10870_TURB2,10870,ng,2.1990000000000003,2.1990000000000003,2.1990000000000003,2.1990000000000003,1.9850000000000003,1.9850000000000003,1.9850000000000003,1.9850000000000003,1.6119990804718494,1.6119990804718494,1.6119990804718494,1.6119990804718494,1.6119990804718494,1.8460971809948763,1.8460971809948763,1.8460971809948763,1.8460971809948763,2.197784546755134,2.197784546755134,2.197784546755134,2.197784546755134,2.642352653886701,2.642352653886701,2.642352653886701,2.642352653886701,2.642352653886701,2.8784893255774238,2.8784893255774238,2.8784893255774238,2.8784893255774238,2.7518772093094803,2.7518772093094803,2.7518772093094803,2.7518772093094803,2.7518772093094803,3.4278461538461538,3.4278461538461538,3.4278461538461538,3.4278461538461538,3.079757768424823,3.079757768424823,3.079757768424823,3.079757768424823,2.422141277694128,2.422141277694128,2.422141277694128,2.422141277694128,3.5260000000000002,3.5260000000000002,3.5260000000000002,3.5260000000000002,3.5260000000000002
15,10870_TURB3,10870,ng,2.1990000000000003,2.1990000000000003,2.1990000000000003,2.1990000000000003,1.9850000000000003,1.9850000000000003,1.9850000000000003,1.9850000000000003,1.6119990804718494,1.6119990804718494,1.6119990804718494,1.6119990804718494,1.6119990804718494,1.8460971809948763,1.8460971809948763,1.8460971809948763,1.8460971809948763,2.197784546755134,2.197784546755134,2.197784546755134,2.197784546755134,2.642352653886701,2.642352653886701,2.642352653886701,2.642352653886701,2.642352653886701,2.8784893255774238,2.8784893255774238,2.8784893255774238,2.8784893255774238,2.7518772093094803,2.7518772093094803,2.7518772093094803,2.7518772093094803,2.7518772093094803,3.4278461538461538,3.4278461538461538,3.4278461538461538,3.4278461538461538,3.079757768424823,3.079757768424823,3.079757768424823,3.079757768424823,2.422141277694128,2.422141277694128,2.422141277694128,2.422141277694128,3.5260000000000002,3.5260000000000002,3.5260000000000002,3.5260000000000002,3.5260000000000002
16,10870_TURB4,10870,ng,2.1990000000000003,2.1990000000000003,2.1990000000000003,2.1990000000000003,1.9850000000000003,1.9850000000000003,1.9850000000000003,1.9850000000000003,1.6119990804718494,1.6119990804718494,1.6119990804718494,1.6119990804718494,1.6119990804718494,1.8460971809948763,1.8460971809948763,1.8460971809948763,1.8460971809948763,2.197784546755134,2.197784546755134,2.197784546755134,2.197784546755134,2.642352653886701,2.642352653886701,2.642352653886701,2.642352653886701,2.642352653886701,2.8784893255774238,2.8784893255774238,2.8784893255774238,2.8784893255774238,2.7518772093094803,2.7518772093094803,2.7518772093094803,2.7518772093094803,2.7518772093094803,3.4278461538461538,3.4278461538461538,3.4278461538461538,3.4278461538461538,3.079757768424823,3.079757768424823,3.079757768424823,3.079757768424823,2.422141277694128,2.422141277694128,2.422141277694128,2.422141277694128,3.5260000000000002,3.5260000000000002,3.5260000000000002,3.5260000000000002,3.5260000000000002
17,1353_BSU1,1353,ng,3.5524080548742516,3.5524080548742516,3.5524080548742516,3.5524080548742516,3.5524080548742516,3.5524080548742516,3.5524080548742516,3.5524080548742516,3.5524080548742516,3.5524080548742516,3.5524080548742516,3.5524080548742516,3.5524080548742516,3.5524080548742516,3.5524080548742516,3.5524080548742516,3.5524080548742516,5.593119253095549,5.593119253095549,5.593119253095549,5.593119253095549,3.2772864385269673,3.2772864385269673,3.2772864385269673,3.2772864385269673,3.2772864385269673,3.2193532563338296,3.2193532563338296,3.2193532563338296,3.2193532563338296,2.910610024828712,2.910610024828712,2.910610024828712,2.910610024828712,2.910610024828712,3.827529671221536,3.827529671221536,3.827529671221536,3.827529671221536,4.276165221953884,4.276165221953884,4.276165221953884,4.276165221953884,2.6394849891334324,2.6394849891334324,2.6394849891334324,2.6394849891334324,5.149781940895243,5.149781940895243,5.149781940895243,5.149781940895243,5.149781940895243
18,1384_1,1384,bit,2.538211298646952,2.538211298646952,2.538211298646952,2.538211298646952,2.624154826152349,2.624154826152349,2.624154826152349,2.624154826152349,2.656517117815118,2.656517117815118,2.656517117815118,2.656517117815118,2.656517117815118,2.8339999999999996,2.8339999999999996,2.8339999999999996,2.8339999999999996,2.862,2.862,2.862,2.862,2.8889999999999993,2.8889999999999993,2.8889999999999993,2.8889999999999993,2.8889999999999993,2.6931832939011566,2.6931832939011566,2.6931832939011566,2.6931832939011566,2.419928660776333,2.419928660776333,2.419928660776333,2.419928660776333,2.419928660776333,2.898,2.898,2.898,2.898,2.8710000000000004,2.8710000000000004,2.8710000000000004,2.8710000000000004,2.89,2.89,2.89,2.89,2.448,2.448,2.448,2.448,2.448
