Unnamed: 0,datetime,demand,gen_cost_marg,gen_cost_tot,co2_marg,co2_tot,so2_marg,so2_tot,nox_marg,nox_tot,dmg_easiur,biomass_mix,coal_mix,gas_mix,geothermal_mix,hydro_mix,nuclear_mix,oil_mix,marg_gen,coal_mix_marg,marg_gen_fuel_type,mmbtu_coal,mmbtu_gas,mmbtu_oil
8412,2016-12-16 12:00:00,78819.0,32.219894293958696,1850232.0023981922,540.5534289940829,54558118.898366936,0.0027306778651998327,38650.88334680625,0.036425581395348836,30836.78949485947,803905.0114801818,0.0,42211.87485252719,35965.00014747283,0.0,0.0,0.0,642.1250000000001,0,0.0,gas,401301.1784025276,294241.8011198197,8553.734945324515
8413,2016-12-16 13:00:00,79137.0,32.219894293958696,1860477.9287836712,540.5534289940829,54730014.88878706,0.0027306778651998327,38651.751702367386,0.036425581395348836,30848.372829743188,803921.054329761,0.0,42211.87485252719,36283.00014747283,0.0,0.0,0.0,642.1250000000001,0,0.0,gas,401301.1784025276,297429.3110749401,8553.734945324515
8414,2016-12-16 14:00:00,78215.0,32.0888799877601,1830829.8207224244,558.82596,54220751.555473015,0.0027331409395973155,38649.17060643294,0.13287066666666664,30775.027438182777,803862.2316957054,0.0,42211.87485252719,35361.00014747283,0.0,0.0,0.0,642.1250000000001,0,0.0,gas,401301.1784025276,287969.49197381083,8553.734945324515
8415,2016-12-16 15:00:00,77988.0,31.887060242346585,1823551.9820579898,916.124091219512,54087769.492432274,2.3457973636363643,38604.62684183903,0.8812707500000001,30711.16530638477,802796.7356306758,0.0,42193.158280856565,35152.71671914345,0.0,0.0,0.0,642.1250000000001,0,1.0,coal,401120.97433747933,285802.8838545342,8553.734945324515
8416,2016-12-16 16:00:00,80576.0,32.40533837209303,1907058.2710513612,565.5906481481481,55532415.237974405,0.0028585185185185194,38660.776339938035,0.13841463414634145,31325.1038824519,804821.4428736249,0.0,42211.87485252719,37722.00014747283,0.0,0.0,0.0,642.1250000000001,0,0.0,gas,401301.1784025276,312341.36892792175,8553.734945324515
8417,2016-12-16 17:00:00,83187.0,32.70658839137646,1992040.9071896914,564.3202213930349,57353317.02654974,0.00932167300380228,39236.390595577635,0.5210742632612967,32962.006238646914,813353.1023696498,642.1250000000001,42873.87485252719,39028.87514747283,0.0,0.0,0.0,642.1250000000001,0,0.0,gas,407901.40219999594,326445.96810501034,8553.734945324515
8418,2016-12-16 18:00:00,81365.0,32.468037499999994,1932648.9370636928,536.7511249999999,56215611.338601775,0.0028375,39218.06380781354,0.3363727272727273,32285.826917635393,808938.7755996659,0.0,42873.87485252719,37849.00014747283,0.0,0.0,0.0,642.1250000000001,0,0.0,gas,407901.40219999594,313624.736331213,8553.734945324515
8419,2016-12-16 19:00:00,80793.0,32.43081155040305,1914095.0775186107,928.0847050632913,55720860.49169421,0.8412562893081761,38814.2373705824,1.3965685279187818,31584.804985263934,805914.7677397839,0.0,42394.158280856565,37756.71671914345,0.0,0.0,0.0,642.1250000000001,0,1.0,coal,403118.5672568232,312700.7485050651,8553.734945324515
8420,2016-12-16 20:00:00,79629.0,32.360393586816954,1876382.231291134,564.9035429447853,55007203.45558253,0.0028545088657788422,38653.19142645352,0.13261212490761273,30921.25297652351,804286.2679618641,0.0,42211.87485252719,36775.00014747283,0.0,0.0,0.0,642.1250000000001,0,0.0,gas,401301.1784025276,302584.4094620137,8553.734945324515
8421,2016-12-16 21:00:00,77802.0,31.800127985697927,1817627.657997611,529.1039607216494,53947061.26904476,0.0025222222222222217,38348.07656753295,0.30281188552188554,30591.626327820013,797821.4949806143,0.0,42083.87485252719,35076.00014747283,0.0,0.0,0.0,642.1250000000001,0,0.0,gas,400068.78815862513,285048.37821756944,8553.734945324515
8422,2016-12-16 22:00:00,73716.0,30.957795973163282,1689911.7353267297,895.2247604254641,50635324.03171484,1.8645975268817203,35633.65744148454,1.4181530174758603,27704.92862992633,761275.6737176967,0.0,39045.399179508466,34028.47582049155,0.0,0.0,0.0,642.1250000000001,0,1.0,coal,370810.4625762378,274306.09622195,8553.734945324515
8423,2016-12-16 23:00:00,69500.0,30.10292108319318,1561023.5306611715,867.9096494047618,47868241.33050156,0.4004161307189543,35187.45137271103,0.4993378555133081,25830.216755447982,750121.5565539954,0.0,37696.399179508466,31161.47582049155,0.0,0.0,0.0,642.1250000000001,0,1.0,coal,357549.7906250587,245920.3914923204,8553.734945324515
8424,2016-12-17 00:00:00,66335.0,29.729455289731614,1466386.7883178126,913.3150894326877,45273056.40170559,0.2518614804638307,34297.6838719516,0.16373155002254924,24815.121665936957,733303.1611714143,0.0,35166.399179508466,30526.47582049155,0.0,0.0,0.0,642.1250000000001,0,1.0,coal,333786.0125967431,239251.20272240957,8553.734945324515
8425,2016-12-17 01:00:00,63707.0,26.888138021860055,1391372.9237709574,920.0648177102807,43553508.848617546,0.3491309119010819,33928.345811089384,0.9057578031116712,23832.518552404854,725752.9136656988,0.0,33970.04690672366,29094.82809327635,0.0,0.0,0.0,642.1250000000001,0,1.0,coal,322430.56629616435,225922.14050893093,8553.734945324515
8426,2016-12-17 02:00:00,60866.0,26.256575473801558,1315524.8234698824,446.84484297520663,41276526.67151758,0.002258358974358975,31187.451190322845,0.1095603305785124,21603.412677966404,705423.8618679404,0.0,31464.376564156188,28759.49843584382,0.0,0.0,0.0,642.1250000000001,0,0.0,gas,298945.3633110406,222494.2686737695,8553.734945324515
