,start,end,demand_threshold
7843,2016-11-22 19:00:00,2016-11-23 07:00:00,58385.0
7855,2016-11-23 07:00:00,2016-11-23 19:00:00,58832.0
7870,2016-11-23 22:00:00,2016-11-24 10:00:00,48377.0
7893,2016-11-24 21:00:00,2016-11-25 09:00:00,40079.0
7917,2016-11-25 21:00:00,2016-11-26 09:00:00,43586.0
7942,2016-11-26 22:00:00,2016-11-27 10:00:00,44194.0
7963,2016-11-27 19:00:00,2016-11-28 07:00:00,48869.0
7976,2016-11-28 08:00:00,2016-11-28 20:00:00,51530.0
7989,2016-11-28 21:00:00,2016-11-29 09:00:00,47241.0
8013,2016-11-29 21:00:00,2016-11-30 09:00:00,48200.0
8036,2016-11-30 20:00:00,2016-12-01 08:00:00,50337.0
8060,2016-12-01 20:00:00,2016-12-02 08:00:00,55165.0
8072,2016-12-02 08:00:00,2016-12-02 20:00:00,54765.0
8086,2016-12-02 22:00:00,2016-12-03 10:00:00,48662.0
8109,2016-12-03 21:00:00,2016-12-04 09:00:00,50096.0
8131,2016-12-04 19:00:00,2016-12-05 07:00:00,55081.0
8144,2016-12-05 08:00:00,2016-12-05 20:00:00,57590.0
8157,2016-12-05 21:00:00,2016-12-06 09:00:00,57485.0
8179,2016-12-06 19:00:00,2016-12-07 07:00:00,61853.0
8192,2016-12-07 08:00:00,2016-12-07 20:00:00,59089.0
8203,2016-12-07 19:00:00,2016-12-08 07:00:00,62501.0
8216,2016-12-08 08:00:00,2016-12-08 20:00:00,61884.0
8228,2016-12-08 20:00:00,2016-12-09 08:00:00,65991.0
8240,2016-12-09 08:00:00,2016-12-09 20:00:00,69541.0
8255,2016-12-09 23:00:00,2016-12-10 11:00:00,63416.0
8264,2016-12-10 08:00:00,2016-12-10 20:00:00,64444.0
8279,2016-12-10 23:00:00,2016-12-11 11:00:00,61189.0
8300,2016-12-11 20:00:00,2016-12-12 08:00:00,62880.0
8322,2016-12-12 18:00:00,2016-12-13 06:00:00,67181.0
8336,2016-12-13 08:00:00,2016-12-13 20:00:00,67927.0
8348,2016-12-13 20:00:00,2016-12-14 08:00:00,69768.0
8360,2016-12-14 08:00:00,2016-12-14 20:00:00,67385.0
8371,2016-12-14 19:00:00,2016-12-15 07:00:00,70957.0
8396,2016-12-15 20:00:00,2016-12-16 08:00:00,86220.0
8406,2016-12-16 06:00:00,2016-12-16 18:00:00,81946.0
8423,2016-12-16 23:00:00,2016-12-17 11:00:00,69500.0
8446,2016-12-17 22:00:00,2016-12-18 10:00:00,58515.0
8467,2016-12-18 19:00:00,2016-12-19 07:00:00,71946.0
8480,2016-12-19 08:00:00,2016-12-19 20:00:00,78348.0
8491,2016-12-19 19:00:00,2016-12-20 07:00:00,79118.0
8503,2016-12-20 07:00:00,2016-12-20 19:00:00,75623.0
8515,2016-12-20 19:00:00,2016-12-21 07:00:00,73160.0
8527,2016-12-21 07:00:00,2016-12-21 19:00:00,70471.0
8541,2016-12-21 21:00:00,2016-12-22 09:00:00,63830.0
8552,2016-12-22 08:00:00,2016-12-22 20:00:00,61257.0
8564,2016-12-22 20:00:00,2016-12-23 08:00:00,63500.0
8575,2016-12-23 07:00:00,2016-12-23 19:00:00,60557.0
8590,2016-12-23 22:00:00,2016-12-24 10:00:00,53572.0
8615,2016-12-24 23:00:00,2016-12-25 11:00:00,43037.0
8625,2016-12-25 09:00:00,2016-12-25 21:00:00,43680.0
8637,2016-12-25 21:00:00,2016-12-26 09:00:00,43333.0
8660,2016-12-26 20:00:00,2016-12-27 08:00:00,46632.0
8683,2016-12-27 19:00:00,2016-12-28 07:00:00,54473.0
8696,2016-12-28 08:00:00,2016-12-28 20:00:00,54146.0
8709,2016-12-28 21:00:00,2016-12-29 09:00:00,55432.0
8722,2016-12-29 10:00:00,2016-12-29 22:00:00,54065.0
8731,2016-12-29 19:00:00,2016-12-30 07:00:00,56257.0
8744,2016-12-30 08:00:00,2016-12-30 20:00:00,56907.0
8759,2016-12-30 23:00:00,2016-12-31 11:00:00,50028.0
