,date,baseline,neural net,simple dispatch
0,2017-09-01 00:00:00,762.1504484408263,759.83984,760.3442771579256
1,2017-09-01 01:00:00,812.3399825709973,664.6814,716.511241426702
2,2017-09-01 02:00:00,548.7344343356725,646.0946,572.0878525302412
3,2017-09-01 03:00:00,569.0790917431722,684.71893,675.1411044362973
4,2017-09-01 04:00:00,874.3885948519081,646.9225,714.4663772637007
5,2017-09-01 05:00:00,834.1419121124658,608.6013,565.9889435008515
6,2017-09-01 06:00:00,643.6386476546828,710.687,516.7352207626017
7,2017-09-01 07:00:00,383.79222724027426,664.7615,460.19071338882384
8,2017-09-01 08:00:00,383.86316514521445,685.7597,574.9958696328223
9,2017-09-01 09:00:00,596.9868428449522,722.7547599999998,465.5752697935906
10,2017-09-01 10:00:00,819.1782722108969,635.0412,544.600556458107
11,2017-09-01 11:00:00,886.3148252182187,760.7673,790.8049587239543
12,2017-09-01 12:00:00,824.0195208215546,682.04877,904.0051650740088
13,2017-09-01 13:00:00,818.696453807755,714.84656,842.5891607613478
14,2017-09-01 14:00:00,818.6964538076734,665.5381,676.924519784454
15,2017-09-01 15:00:00,818.6964538077658,786.46265,495.9953318072632
16,2017-09-01 16:00:00,818.6964538077826,782.37054,423.6701135175225
17,2017-09-01 17:00:00,784.1848247955671,834.44385,379.9063937448303
18,2017-09-01 18:00:00,455.8069908507729,695.0856,373.4038258928466
19,2017-09-01 19:00:00,452.7693716920271,688.5435,397.9687723901308
20,2017-09-01 20:00:00,800.5883230816446,693.3173,388.96599114717657
21,2017-09-01 21:00:00,769.4891767104828,543.5663,425.5942885087291
22,2017-09-01 22:00:00,818.6964538077829,664.4074,460.0118295697513
23,2017-09-01 23:00:00,818.6964538077483,817.19135,798.517634359034
24,2017-09-02 00:00:00,818.6964538077652,711.0383,659.954122281267
25,2017-09-02 01:00:00,825.3221336932093,682.8923,720.4264014401923
26,2017-09-02 02:00:00,899.8007669797131,791.0781,890.9830178480994
27,2017-09-02 03:00:00,785.8151049974385,663.1528,707.5077805387973
28,2017-09-02 04:00:00,446.54078970941526,691.6253,519.9752858313404
29,2017-09-02 05:00:00,739.980523290392,659.48474,474.1669038029164
30,2017-09-02 06:00:00,397.01435446411097,612.74036,647.8239928592556
31,2017-09-02 07:00:00,366.5540321243192,677.5998,934.86798141769
32,2017-09-02 08:00:00,365.85541376183113,813.18384,461.6658993261943
33,2017-09-02 09:00:00,709.2719427139286,741.3058,885.9822352518133
34,2017-09-02 10:00:00,689.7090600171214,647.9712,602.7604566830693
35,2017-09-02 11:00:00,367.6488893746267,799.1477,468.7552065691977
36,2017-09-02 12:00:00,388.29291404179503,748.81537,617.3637383764012
37,2017-09-02 13:00:00,685.8982967047991,707.6807,421.81332201168715
38,2017-09-02 14:00:00,849.989706363173,660.2969400000002,773.1388241228892
39,2017-09-02 15:00:00,952.2549693212146,767.9636,783.6272745815386
40,2017-09-02 16:00:00,892.0374015140517,778.68604,892.0066342239021
41,2017-09-02 17:00:00,892.0374015140522,751.8946,1065.8147868838466
42,2017-09-02 18:00:00,847.0828959146884,743.4966400000002,379.33227481180484
43,2017-09-02 19:00:00,991.9537714793602,727.8493,379.33227481164073
44,2017-09-02 20:00:00,1117.8187586206927,746.8398,379.3322748116732
45,2017-09-02 21:00:00,806.3453510231031,697.3326400000002,1074.1548585868406
46,2017-09-02 22:00:00,892.0374015140387,751.16187,1090.5281922826184
47,2017-09-02 23:00:00,827.1593861410739,698.15845,949.6332476444284
48,2017-09-03 00:00:00,883.6244219118073,737.2876,913.2150397506874
49,2017-09-03 01:00:00,884.5357232363001,738.3837,901.747007454342
50,2017-09-03 02:00:00,841.2083220895212,752.6735,772.9697349253643
51,2017-09-03 03:00:00,837.2856726050856,732.5886,453.30575634535364
52,2017-09-03 04:00:00,614.4854513579509,708.8963,624.3496053994043
53,2017-09-03 05:00:00,409.78498077303726,642.0947,535.2917400380022
54,2017-09-03 06:00:00,375.5993019976056,593.685,722.1058376078399
55,2017-09-03 07:00:00,415.31925675574746,599.2626,484.9387001568414
56,2017-09-03 08:00:00,931.163763604744,606.1108,532.5204205554039
57,2017-09-03 09:00:00,688.5310475391725,675.2957,531.0821342087138
58,2017-09-03 10:00:00,374.0838444395543,701.2569599999998,620.3725753640582
59,2017-09-03 11:00:00,373.96670850361113,762.44714,595.6741327213956
60,2017-09-03 12:00:00,386.8974831824569,713.2236,582.339351252617
61,2017-09-03 13:00:00,484.4741197416408,703.8036,584.4422484437894
62,2017-09-03 14:00:00,774.6568213355374,828.4346,389.92782779125054
63,2017-09-03 15:00:00,892.0066342239097,722.67896,708.8522743387491
64,2017-09-03 16:00:00,941.6492846034088,704.8815,810.9516699170294
65,2017-09-03 17:00:00,849.4023122412152,633.8933,900.0395020858498
66,2017-09-03 18:00:00,862.4576843754686,621.92944,988.8470285836024
67,2017-09-03 19:00:00,796.5564893329948,621.8737,841.4679671767526
68,2017-09-03 20:00:00,818.6964538077827,613.75446,873.646422299817
69,2017-09-03 21:00:00,579.8307102571348,603.2206,802.8985794534213
70,2017-09-03 22:00:00,377.54722939893657,675.8666,680.7740698638991
71,2017-09-03 23:00:00,376.9239064199647,731.7682,626.7208643085455
72,2017-09-04 00:00:00,373.34909706802176,746.5777,380.75585350503184
73,2017-09-04 01:00:00,583.0393449284015,672.57965,549.7683914466786
74,2017-09-04 02:00:00,837.6801977582526,691.8122599999998,853.3408269336362
75,2017-09-04 03:00:00,912.605519435162,729.9153,802.8374199621727
76,2017-09-04 04:00:00,566.9449852085405,685.1723,386.58725275541946
